Date,Open,Close,Volume,Returns,High,Low,LongStop,ShortStop,stopdist_long,stopdist_short,Signal,Open,Regime_2,Prob_Regime0,Prob_Regime1,ROC_5,ROC_22
2017-09-19 23:59:59.999,4060.0,3910.04,902.332129,-3.0971422623487954,4089.97,3830.91,2856.066967375935,4591.763032624065,2.6297800298344827,1.7009748462059786,0,4060.0,1.0,0.1573011961340953,0.8426988038659382,22.60945368796683,5.251483869231088
2017-09-20 23:59:59.999,3910.04,3900.0,720.935076,-0.2567748667532843,4046.08,3820.0,2866.873270638341,4530.616729361659,2.6952537030157315,1.6451728783029964,0,3910.04,1.0,0.2808270953083933,0.7191729046916401,5.405405405405395,5.405690285649434
2017-09-21 23:59:59.999,3889.99,3609.99,1001.654084,-7.436153846153848,3910.0,3567.0,2880.982943574507,4516.507056425493,1.9220712436622036,2.3900871064103697,0,3889.99,1.0,0.0007947818818755,0.999205218118158,-2.825340852501379,-10.533307228482713
2017-09-22 23:59:59.999,3592.84,3595.87,838.966425,-0.3911368175535057,3750.0,3505.55,2883.4241492170563,4469.315850782944,1.9476439576176137,2.387776603252138,0,3592.84,1.0,0.2008429330666056,0.7991570669334277,-2.814061659626099,-8.034956164131312
2017-09-23 23:59:59.999,3595.88,3780.0,752.792791,5.120596684529755,3817.19,3542.91,2883.4241492170563,4437.284265704649,2.513903156531428,1.8429550481985768,0,3595.88,1.0,0.0268671142391873,0.973132885760846,-6.319934770917546,-3.076923076923077
2017-09-24 23:59:59.999,3779.54,3660.02,661.63639,-3.1740740740740736,3789.99,3622.76,2883.4241492170563,4370.988339134185,2.2996262994077785,2.105292590825606,0,3779.54,1.0,0.0545926809635884,0.945407319036445,-6.394307986619063,1.3858764151701397
2017-09-25 23:59:59.999,3660.02,3920.75,727.994713,7.123731564308389,3979.87,3653.69,2883.4241492170563,4370.988339134185,3.08220912253509,1.337794401968305,0,3660.02,1.0,0.0006539841158274,0.999346015884206,0.5320512820512713,9.034809378537044
2017-09-26 23:59:59.999,3928.0,3882.35,526.727987,-0.9794044506790778,3976.99,3850.05,2930.439945301311,4370.988339134185,3.016273324876842,1.5483256853601497,0,3928.0,1.0,0.1654691767604001,0.8345308232396332,7.544619237172401,2.7076719576719643
2017-09-27 23:59:59.999,3882.36,4193.0,628.170966,8.001596970906789,4249.94,3872.81,2930.439945301311,4370.988339134185,3.924097898441136,0.5531963924758939,0,3882.36,1.0,0.0004396062095594,0.999560393790474,16.605995211172832,14.562215507019085
2017-09-28 23:59:59.999,4192.11,4174.5,849.785325,-0.4412115430479368,4300.0,4101.0,3109.8523056940617,4370.988339134185,3.440220525473684,0.6349172791346039,0,4192.11,0.0,0.5601916812456079,0.4398083187544254,10.436507936507944,6.471976024995207
2017-09-29 23:59:59.999,4178.98,4174.69,1602.309565,0.0045514432866156,4263.86,3952.01,3109.8523056940617,4370.988339134185,3.438191174438757,0.6338160461233939,0,4178.98,0.0,0.6335268263092633,0.3664731736907702,14.061945016693889,7.529975401496514
2017-09-30 23:59:59.999,4175.0,4378.51,720.353183,4.882278684165775,4380.0,4138.1,3132.75261761219,4370.988339134185,4.112390099504637,-0.024829877882901,1,4175.0,1.0,0.3659795945943339,0.6340204054056995,11.675317222470197,4.424278559503936
