,Date,Open,Close,Volume,Returns,High,Low,LongStop,ShortStop,stopdist_long,stopdist_short,Signal,Open.1,Regime_2,Prob_Regime0,Prob_Regime1,ROC_5,ROC_22,EMA_10,EMA_20,EMA_50,pice/ema50,pice/ema20
0,2017-09-19 23:59:59.999,4060.0,3910.04,902.332129,-3.0971422623487954,4089.97,3830.91,2856.066967375935,4591.763032624065,2.6297800298344827,1.7009748462059786,0,4060.0,1.0,0.1573011961340953,0.8426988038659382,22.60945368796683,5.251483869231088,3910.04,3910.04,3910.04,0.0,0.0
1,2017-09-20 23:59:59.999,3910.04,3900.0,720.935076,-0.2567748667532843,4046.08,3820.0,2866.873270638341,4530.616729361659,2.6952537030157315,1.6451728783029964,0,3910.04,1.0,0.2808270953083933,0.7191729046916401,5.405405405405395,5.405690285649434,3908.2145454545453,3909.0838095238096,3909.6462745098042,-9.646274509804243,-9.083809523809578
2,2017-09-21 23:59:59.999,3889.99,3609.99,1001.654084,-7.436153846153848,3910.0,3567.0,2880.982943574507,4516.507056425493,1.922071243662204,2.3900871064103697,0,3889.99,1.0,0.0007947818818755,0.999205218118158,-2.825340852501379,-10.533307228482713,3853.991900826446,3880.598684807256,3897.8950480584394,-287.90504805843966,-270.6086848072564
3,2017-09-22 23:59:59.999,3592.84,3595.87,838.966425,-0.3911368175535057,3750.0,3505.55,2883.4241492170563,4469.315850782944,1.9476439576176137,2.387776603252138,0,3592.84,1.0,0.2008429330666056,0.7991570669334277,-2.814061659626099,-8.034956164131312,3807.060646130728,3853.4816672065654,3886.0509285267362,-290.18092852673635,-257.61166720656547
4,2017-09-23 23:59:59.999,3595.88,3780.0,752.792791,5.120596684529755,3817.19,3542.91,2883.4241492170563,4437.284265704649,2.513903156531428,1.8429550481985768,0,3595.88,1.0,0.0268671142391873,0.973132885760846,-6.319934770917546,-3.076923076923077,3802.140528652413,3846.4834131868924,3881.892068584511,-101.89206858451098,-66.48341318689245
5,2017-09-24 23:59:59.999,3779.54,3660.02,661.63639,-3.1740740740740736,3789.99,3622.76,2883.4241492170563,4370.988339134185,2.2996262994077785,2.105292590825606,0,3779.54,1.0,0.0545926809635884,0.945407319036445,-6.394307986619063,1.3858764151701397,3776.3004325337924,3828.724992883379,3873.1912031498246,-213.17120314982458,-168.70499288337896
6,2017-09-25 23:59:59.999,3660.02,3920.75,727.994713,7.123731564308389,3979.87,3653.69,2883.4241492170563,4370.988339134185,3.08220912253509,1.337794401968305,0,3660.02,1.0,0.0006539841158274,0.999346015884206,0.5320512820512713,9.034809378537044,3802.563990254921,3837.489279275438,3875.056254006694,45.69374599330604,83.2607207245619
7,2017-09-26 23:59:59.999,3928.0,3882.35,526.727987,-0.9794044506790778,3976.99,3850.05,2930.439945301311,4370.988339134185,3.016273324876842,1.5483256853601497,0,3928.0,1.0,0.1654691767604001,0.8345308232396332,7.544619237172401,2.7076719576719643,3817.0705374812987,3841.7617288682536,3875.3422832613333,7.007716738666659,40.588271131746296
8,2017-09-27 23:59:59.999,3882.36,4193.0,628.170966,8.001596970906789,4249.94,3872.81,2930.439945301311,4370.988339134185,3.924097898441136,0.5531963924758939,0,3882.36,1.0,0.0004396062095594,0.999560393790474,16.605995211172832,14.562215507019085,3885.421348848335,3875.212992785563,3887.799448623634,305.2005513763661,317.7870072144369
9,2017-09-28 23:59:59.999,4192.11,4174.5,849.785325,-0.4412115430479368,4300.0,4101.0,3109.8523056940617,4370.988339134185,3.440220525473684,0.6349172791346039,0,4192.11,0.0,0.5601916812456079,0.4398083187544254,10.436507936507944,6.471976024995207,3937.981103603183,3903.716517282176,3899.0426075011383,275.45739249886174,270.783482717824
